universe,family,spec_id,parameters
U3,A,U3-A000,"[20, 20, 0.4, 0, 5]"
U3,A,U3-A001,"[20, 20, 0.4, 0, 20]"
U3,A,U3-A002,"[20, 20, 0.4, 0.3, 5]"
U3,A,U3-A003,"[20, 20, 0.4, 0.3, 20]"
U3,A,U3-A004,"[20, 20, 0.7, 0, 5]"
U3,A,U3-A005,"[20, 20, 0.7, 0, 20]"
U3,A,U3-A006,"[20, 20, 0.7, 0.3, 5]"
U3,A,U3-A007,"[20, 20, 0.7, 0.3, 20]"
U3,A,U3-A008,"[20, 20, 1.0, 0, 5]"
U3,A,U3-A009,"[20, 20, 1.0, 0, 20]"
U3,A,U3-A010,"[20, 20, 1.0, 0.3, 5]"
U3,A,U3-A011,"[20, 20, 1.0, 0.3, 20]"
U3,A,U3-A012,"[20, 60, 0.4, 0, 5]"
U3,A,U3-A013,"[20, 60, 0.4, 0, 20]"
U3,A,U3-A014,"[20, 60, 0.4, 0.3, 5]"
U3,A,U3-A015,"[20, 60, 0.4, 0.3, 20]"
U3,A,U3-A016,"[20, 60, 0.7, 0, 5]"
U3,A,U3-A017,"[20, 60, 0.7, 0, 20]"
U3,A,U3-A018,"[20, 60, 0.7, 0.3, 5]"
U3,A,U3-A019,"[20, 60, 0.7, 0.3, 20]"
U3,A,U3-A020,"[20, 60, 1.0, 0, 5]"
U3,A,U3-A021,"[20, 60, 1.0, 0, 20]"
U3,A,U3-A022,"[20, 60, 1.0, 0.3, 5]"
U3,A,U3-A023,"[20, 60, 1.0, 0.3, 20]"
U3,A,U3-A024,"[60, 20, 0.4, 0, 5]"
U3,A,U3-A025,"[60, 20, 0.4, 0, 20]"
U3,A,U3-A026,"[60, 20, 0.4, 0.3, 5]"
U3,A,U3-A027,"[60, 20, 0.4, 0.3, 20]"
U3,A,U3-A028,"[60, 20, 0.7, 0, 5]"
U3,A,U3-A029,"[60, 20, 0.7, 0, 20]"
U3,A,U3-A030,"[60, 20, 0.7, 0.3, 5]"
U3,A,U3-A031,"[60, 20, 0.7, 0.3, 20]"
U3,A,U3-A032,"[60, 20, 1.0, 0, 5]"
U3,A,U3-A033,"[60, 20, 1.0, 0, 20]"
U3,A,U3-A034,"[60, 20, 1.0, 0.3, 5]"
U3,A,U3-A035,"[60, 20, 1.0, 0.3, 20]"
U3,A,U3-A036,"[60, 60, 0.4, 0, 5]"
U3,A,U3-A037,"[60, 60, 0.4, 0, 20]"
U3,A,U3-A038,"[60, 60, 0.4, 0.3, 5]"
U3,A,U3-A039,"[60, 60, 0.4, 0.3, 20]"
U3,A,U3-A040,"[60, 60, 0.7, 0, 5]"
U3,A,U3-A041,"[60, 60, 0.7, 0, 20]"
U3,A,U3-A042,"[60, 60, 0.7, 0.3, 5]"
U3,A,U3-A043,"[60, 60, 0.7, 0.3, 20]"
U3,A,U3-A044,"[60, 60, 1.0, 0, 5]"
U3,A,U3-A045,"[60, 60, 1.0, 0, 20]"
U3,A,U3-A046,"[60, 60, 1.0, 0.3, 5]"
U3,A,U3-A047,"[60, 60, 1.0, 0.3, 20]"
U3,B,U3-B000,"[1, 20, 20, ""cash"", 5]"
U3,B,U3-B001,"[1, 20, 20, ""cash"", 20]"
U3,B,U3-B002,"[1, 20, 20, ""510050"", 5]"
U3,B,U3-B003,"[1, 20, 20, ""510050"", 20]"
U3,B,U3-B004,"[1, 20, 60, ""cash"", 5]"
U3,B,U3-B005,"[1, 20, 60, ""cash"", 20]"
U3,B,U3-B006,"[1, 20, 60, ""510050"", 5]"
U3,B,U3-B007,"[1, 20, 60, ""510050"", 20]"
U3,B,U3-B008,"[1, 20, 120, ""cash"", 5]"
U3,B,U3-B009,"[1, 20, 120, ""cash"", 20]"
U3,B,U3-B010,"[1, 20, 120, ""510050"", 5]"
U3,B,U3-B011,"[1, 20, 120, ""510050"", 20]"
U3,B,U3-B012,"[1, 60, 20, ""cash"", 5]"
U3,B,U3-B013,"[1, 60, 20, ""cash"", 20]"
U3,B,U3-B014,"[1, 60, 20, ""510050"", 5]"
U3,B,U3-B015,"[1, 60, 20, ""510050"", 20]"
U3,B,U3-B016,"[1, 60, 60, ""cash"", 5]"
U3,B,U3-B017,"[1, 60, 60, ""cash"", 20]"
U3,B,U3-B018,"[1, 60, 60, ""510050"", 5]"
U3,B,U3-B019,"[1, 60, 60, ""510050"", 20]"
U3,B,U3-B020,"[1, 60, 120, ""cash"", 5]"
U3,B,U3-B021,"[1, 60, 120, ""cash"", 20]"
U3,B,U3-B022,"[1, 60, 120, ""510050"", 5]"
U3,B,U3-B023,"[1, 60, 120, ""510050"", 20]"
U3,B,U3-B024,"[1, 120, 20, ""cash"", 5]"
U3,B,U3-B025,"[1, 120, 20, ""cash"", 20]"
U3,B,U3-B026,"[1, 120, 20, ""510050"", 5]"
U3,B,U3-B027,"[1, 120, 20, ""510050"", 20]"
U3,B,U3-B028,"[1, 120, 60, ""cash"", 5]"
U3,B,U3-B029,"[1, 120, 60, ""cash"", 20]"
U3,B,U3-B030,"[1, 120, 60, ""510050"", 5]"
U3,B,U3-B031,"[1, 120, 60, ""510050"", 20]"
U3,B,U3-B032,"[1, 120, 120, ""cash"", 5]"
U3,B,U3-B033,"[1, 120, 120, ""cash"", 20]"
U3,B,U3-B034,"[1, 120, 120, ""510050"", 5]"
U3,B,U3-B035,"[1, 120, 120, ""510050"", 20]"
U3,B,U3-B036,"[2, 20, 20, ""cash"", 5]"
U3,B,U3-B037,"[2, 20, 20, ""cash"", 20]"
U3,B,U3-B038,"[2, 20, 20, ""510050"", 5]"
U3,B,U3-B039,"[2, 20, 20, ""510050"", 20]"
U3,B,U3-B040,"[2, 20, 60, ""cash"", 5]"
U3,B,U3-B041,"[2, 20, 60, ""cash"", 20]"
U3,B,U3-B042,"[2, 20, 60, ""510050"", 5]"
U3,B,U3-B043,"[2, 20, 60, ""510050"", 20]"
U3,B,U3-B044,"[2, 20, 120, ""cash"", 5]"
U3,B,U3-B045,"[2, 20, 120, ""cash"", 20]"
U3,B,U3-B046,"[2, 20, 120, ""510050"", 5]"
U3,B,U3-B047,"[2, 20, 120, ""510050"", 20]"
U3,B,U3-B048,"[2, 60, 20, ""cash"", 5]"
U3,B,U3-B049,"[2, 60, 20, ""cash"", 20]"
U3,B,U3-B050,"[2, 60, 20, ""510050"", 5]"
U3,B,U3-B051,"[2, 60, 20, ""510050"", 20]"
U3,B,U3-B052,"[2, 60, 60, ""cash"", 5]"
U3,B,U3-B053,"[2, 60, 60, ""cash"", 20]"
U3,B,U3-B054,"[2, 60, 60, ""510050"", 5]"
U3,B,U3-B055,"[2, 60, 60, ""510050"", 20]"
U3,B,U3-B056,"[2, 60, 120, ""cash"", 5]"
U3,B,U3-B057,"[2, 60, 120, ""cash"", 20]"
U3,B,U3-B058,"[2, 60, 120, ""510050"", 5]"
U3,B,U3-B059,"[2, 60, 120, ""510050"", 20]"
U3,B,U3-B060,"[2, 120, 20, ""cash"", 5]"
U3,B,U3-B061,"[2, 120, 20, ""cash"", 20]"
U3,B,U3-B062,"[2, 120, 20, ""510050"", 5]"
U3,B,U3-B063,"[2, 120, 20, ""510050"", 20]"
U3,B,U3-B064,"[2, 120, 60, ""cash"", 5]"
U3,B,U3-B065,"[2, 120, 60, ""cash"", 20]"
U3,B,U3-B066,"[2, 120, 60, ""510050"", 5]"
U3,B,U3-B067,"[2, 120, 60, ""510050"", 20]"
U3,B,U3-B068,"[2, 120, 120, ""cash"", 5]"
U3,B,U3-B069,"[2, 120, 120, ""cash"", 20]"
U3,B,U3-B070,"[2, 120, 120, ""510050"", 5]"
U3,B,U3-B071,"[2, 120, 120, ""510050"", 20]"
U3,C,U3-C000,"[0.05, 5, 3, 0.3]"
U3,C,U3-C001,"[0.05, 5, 3, 0.6]"
U3,C,U3-C002,"[0.05, 5, 3, 1.0]"
U3,C,U3-C003,"[0.05, 5, 10, 0.3]"
U3,C,U3-C004,"[0.05, 5, 10, 0.6]"
U3,C,U3-C005,"[0.05, 5, 10, 1.0]"
U3,C,U3-C006,"[0.05, 20, 3, 0.3]"
U3,C,U3-C007,"[0.05, 20, 3, 0.6]"
U3,C,U3-C008,"[0.05, 20, 3, 1.0]"
U3,C,U3-C009,"[0.05, 20, 10, 0.3]"
U3,C,U3-C010,"[0.05, 20, 10, 0.6]"
U3,C,U3-C011,"[0.05, 20, 10, 1.0]"
U3,C,U3-C012,"[0.1, 5, 3, 0.3]"
U3,C,U3-C013,"[0.1, 5, 3, 0.6]"
U3,C,U3-C014,"[0.1, 5, 3, 1.0]"
U3,C,U3-C015,"[0.1, 5, 10, 0.3]"
U3,C,U3-C016,"[0.1, 5, 10, 0.6]"
U3,C,U3-C017,"[0.1, 5, 10, 1.0]"
U3,C,U3-C018,"[0.1, 20, 3, 0.3]"
U3,C,U3-C019,"[0.1, 20, 3, 0.6]"
U3,C,U3-C020,"[0.1, 20, 3, 1.0]"
U3,C,U3-C021,"[0.1, 20, 10, 0.3]"
U3,C,U3-C022,"[0.1, 20, 10, 0.6]"
U3,C,U3-C023,"[0.1, 20, 10, 1.0]"
U3,C,U3-C024,"[0.15, 5, 3, 0.3]"
U3,C,U3-C025,"[0.15, 5, 3, 0.6]"
U3,C,U3-C026,"[0.15, 5, 3, 1.0]"
U3,C,U3-C027,"[0.15, 5, 10, 0.3]"
U3,C,U3-C028,"[0.15, 5, 10, 0.6]"
U3,C,U3-C029,"[0.15, 5, 10, 1.0]"
U3,C,U3-C030,"[0.15, 20, 3, 0.3]"
U3,C,U3-C031,"[0.15, 20, 3, 0.6]"
U3,C,U3-C032,"[0.15, 20, 3, 1.0]"
U3,C,U3-C033,"[0.15, 20, 10, 0.3]"
U3,C,U3-C034,"[0.15, 20, 10, 0.6]"
U3,C,U3-C035,"[0.15, 20, 10, 1.0]"
U3,D,U3-D000,"[0.1, 0.3, ""inverse_volatility""]"
U3,D,U3-D001,"[0.1, 0.3, ""minimum_variance""]"
U3,D,U3-D002,"[0.1, 0.6, ""inverse_volatility""]"
U3,D,U3-D003,"[0.1, 0.6, ""minimum_variance""]"
U3,D,U3-D004,"[0.1, 1.0, ""inverse_volatility""]"
U3,D,U3-D005,"[0.1, 1.0, ""minimum_variance""]"
U3,D,U3-D006,"[0.15, 0.3, ""inverse_volatility""]"
U3,D,U3-D007,"[0.15, 0.3, ""minimum_variance""]"
U3,D,U3-D008,"[0.15, 0.6, ""inverse_volatility""]"
U3,D,U3-D009,"[0.15, 0.6, ""minimum_variance""]"
U3,D,U3-D010,"[0.15, 1.0, ""inverse_volatility""]"
U3,D,U3-D011,"[0.15, 1.0, ""minimum_variance""]"
U3,D,U3-D012,"[0.2, 0.3, ""inverse_volatility""]"
U3,D,U3-D013,"[0.2, 0.3, ""minimum_variance""]"
U3,D,U3-D014,"[0.2, 0.6, ""inverse_volatility""]"
U3,D,U3-D015,"[0.2, 0.6, ""minimum_variance""]"
U3,D,U3-D016,"[0.2, 1.0, ""inverse_volatility""]"
U3,D,U3-D017,"[0.2, 1.0, ""minimum_variance""]"
U2,A,U2-A000,"[20, 20, 0.4, 0, 5]"
U2,A,U2-A001,"[20, 20, 0.4, 0, 20]"
U2,A,U2-A002,"[20, 20, 0.4, 0.3, 5]"
U2,A,U2-A003,"[20, 20, 0.4, 0.3, 20]"
U2,A,U2-A004,"[20, 20, 0.7, 0, 5]"
U2,A,U2-A005,"[20, 20, 0.7, 0, 20]"
U2,A,U2-A006,"[20, 20, 0.7, 0.3, 5]"
U2,A,U2-A007,"[20, 20, 0.7, 0.3, 20]"
U2,A,U2-A008,"[20, 20, 1.0, 0, 5]"
U2,A,U2-A009,"[20, 20, 1.0, 0, 20]"
U2,A,U2-A010,"[20, 20, 1.0, 0.3, 5]"
U2,A,U2-A011,"[20, 20, 1.0, 0.3, 20]"
U2,A,U2-A012,"[20, 60, 0.4, 0, 5]"
U2,A,U2-A013,"[20, 60, 0.4, 0, 20]"
U2,A,U2-A014,"[20, 60, 0.4, 0.3, 5]"
U2,A,U2-A015,"[20, 60, 0.4, 0.3, 20]"
U2,A,U2-A016,"[20, 60, 0.7, 0, 5]"
U2,A,U2-A017,"[20, 60, 0.7, 0, 20]"
U2,A,U2-A018,"[20, 60, 0.7, 0.3, 5]"
U2,A,U2-A019,"[20, 60, 0.7, 0.3, 20]"
U2,A,U2-A020,"[20, 60, 1.0, 0, 5]"
U2,A,U2-A021,"[20, 60, 1.0, 0, 20]"
U2,A,U2-A022,"[20, 60, 1.0, 0.3, 5]"
U2,A,U2-A023,"[20, 60, 1.0, 0.3, 20]"
U2,A,U2-A024,"[60, 20, 0.4, 0, 5]"
U2,A,U2-A025,"[60, 20, 0.4, 0, 20]"
U2,A,U2-A026,"[60, 20, 0.4, 0.3, 5]"
U2,A,U2-A027,"[60, 20, 0.4, 0.3, 20]"
U2,A,U2-A028,"[60, 20, 0.7, 0, 5]"
U2,A,U2-A029,"[60, 20, 0.7, 0, 20]"
U2,A,U2-A030,"[60, 20, 0.7, 0.3, 5]"
U2,A,U2-A031,"[60, 20, 0.7, 0.3, 20]"
U2,A,U2-A032,"[60, 20, 1.0, 0, 5]"
U2,A,U2-A033,"[60, 20, 1.0, 0, 20]"
U2,A,U2-A034,"[60, 20, 1.0, 0.3, 5]"
U2,A,U2-A035,"[60, 20, 1.0, 0.3, 20]"
U2,A,U2-A036,"[60, 60, 0.4, 0, 5]"
U2,A,U2-A037,"[60, 60, 0.4, 0, 20]"
U2,A,U2-A038,"[60, 60, 0.4, 0.3, 5]"
U2,A,U2-A039,"[60, 60, 0.4, 0.3, 20]"
U2,A,U2-A040,"[60, 60, 0.7, 0, 5]"
U2,A,U2-A041,"[60, 60, 0.7, 0, 20]"
U2,A,U2-A042,"[60, 60, 0.7, 0.3, 5]"
U2,A,U2-A043,"[60, 60, 0.7, 0.3, 20]"
U2,A,U2-A044,"[60, 60, 1.0, 0, 5]"
U2,A,U2-A045,"[60, 60, 1.0, 0, 20]"
U2,A,U2-A046,"[60, 60, 1.0, 0.3, 5]"
U2,A,U2-A047,"[60, 60, 1.0, 0.3, 20]"
U2,B,U2-B000,"[1, 20, 20, ""cash"", 5]"
U2,B,U2-B001,"[1, 20, 20, ""cash"", 20]"
U2,B,U2-B002,"[1, 20, 20, ""510050"", 5]"
U2,B,U2-B003,"[1, 20, 20, ""510050"", 20]"
U2,B,U2-B004,"[1, 20, 60, ""cash"", 5]"
U2,B,U2-B005,"[1, 20, 60, ""cash"", 20]"
U2,B,U2-B006,"[1, 20, 60, ""510050"", 5]"
U2,B,U2-B007,"[1, 20, 60, ""510050"", 20]"
U2,B,U2-B008,"[1, 20, 120, ""cash"", 5]"
U2,B,U2-B009,"[1, 20, 120, ""cash"", 20]"
U2,B,U2-B010,"[1, 20, 120, ""510050"", 5]"
U2,B,U2-B011,"[1, 20, 120, ""510050"", 20]"
U2,B,U2-B012,"[1, 60, 20, ""cash"", 5]"
U2,B,U2-B013,"[1, 60, 20, ""cash"", 20]"
U2,B,U2-B014,"[1, 60, 20, ""510050"", 5]"
U2,B,U2-B015,"[1, 60, 20, ""510050"", 20]"
U2,B,U2-B016,"[1, 60, 60, ""cash"", 5]"
U2,B,U2-B017,"[1, 60, 60, ""cash"", 20]"
U2,B,U2-B018,"[1, 60, 60, ""510050"", 5]"
U2,B,U2-B019,"[1, 60, 60, ""510050"", 20]"
U2,B,U2-B020,"[1, 60, 120, ""cash"", 5]"
U2,B,U2-B021,"[1, 60, 120, ""cash"", 20]"
U2,B,U2-B022,"[1, 60, 120, ""510050"", 5]"
U2,B,U2-B023,"[1, 60, 120, ""510050"", 20]"
U2,B,U2-B024,"[1, 120, 20, ""cash"", 5]"
U2,B,U2-B025,"[1, 120, 20, ""cash"", 20]"
U2,B,U2-B026,"[1, 120, 20, ""510050"", 5]"
U2,B,U2-B027,"[1, 120, 20, ""510050"", 20]"
U2,B,U2-B028,"[1, 120, 60, ""cash"", 5]"
U2,B,U2-B029,"[1, 120, 60, ""cash"", 20]"
U2,B,U2-B030,"[1, 120, 60, ""510050"", 5]"
U2,B,U2-B031,"[1, 120, 60, ""510050"", 20]"
U2,B,U2-B032,"[1, 120, 120, ""cash"", 5]"
U2,B,U2-B033,"[1, 120, 120, ""cash"", 20]"
U2,B,U2-B034,"[1, 120, 120, ""510050"", 5]"
U2,B,U2-B035,"[1, 120, 120, ""510050"", 20]"
U2,B,U2-B036,"[2, 20, 20, ""cash"", 5]"
U2,B,U2-B037,"[2, 20, 20, ""cash"", 20]"
U2,B,U2-B038,"[2, 20, 20, ""510050"", 5]"
U2,B,U2-B039,"[2, 20, 20, ""510050"", 20]"
U2,B,U2-B040,"[2, 20, 60, ""cash"", 5]"
U2,B,U2-B041,"[2, 20, 60, ""cash"", 20]"
U2,B,U2-B042,"[2, 20, 60, ""510050"", 5]"
U2,B,U2-B043,"[2, 20, 60, ""510050"", 20]"
U2,B,U2-B044,"[2, 20, 120, ""cash"", 5]"
U2,B,U2-B045,"[2, 20, 120, ""cash"", 20]"
U2,B,U2-B046,"[2, 20, 120, ""510050"", 5]"
U2,B,U2-B047,"[2, 20, 120, ""510050"", 20]"
U2,B,U2-B048,"[2, 60, 20, ""cash"", 5]"
U2,B,U2-B049,"[2, 60, 20, ""cash"", 20]"
U2,B,U2-B050,"[2, 60, 20, ""510050"", 5]"
U2,B,U2-B051,"[2, 60, 20, ""510050"", 20]"
U2,B,U2-B052,"[2, 60, 60, ""cash"", 5]"
U2,B,U2-B053,"[2, 60, 60, ""cash"", 20]"
U2,B,U2-B054,"[2, 60, 60, ""510050"", 5]"
U2,B,U2-B055,"[2, 60, 60, ""510050"", 20]"
U2,B,U2-B056,"[2, 60, 120, ""cash"", 5]"
U2,B,U2-B057,"[2, 60, 120, ""cash"", 20]"
U2,B,U2-B058,"[2, 60, 120, ""510050"", 5]"
U2,B,U2-B059,"[2, 60, 120, ""510050"", 20]"
U2,B,U2-B060,"[2, 120, 20, ""cash"", 5]"
U2,B,U2-B061,"[2, 120, 20, ""cash"", 20]"
U2,B,U2-B062,"[2, 120, 20, ""510050"", 5]"
U2,B,U2-B063,"[2, 120, 20, ""510050"", 20]"
U2,B,U2-B064,"[2, 120, 60, ""cash"", 5]"
U2,B,U2-B065,"[2, 120, 60, ""cash"", 20]"
U2,B,U2-B066,"[2, 120, 60, ""510050"", 5]"
U2,B,U2-B067,"[2, 120, 60, ""510050"", 20]"
U2,B,U2-B068,"[2, 120, 120, ""cash"", 5]"
U2,B,U2-B069,"[2, 120, 120, ""cash"", 20]"
U2,B,U2-B070,"[2, 120, 120, ""510050"", 5]"
U2,B,U2-B071,"[2, 120, 120, ""510050"", 20]"
U2,C,U2-C000,"[0.05, 5, 3, 0.3]"
U2,C,U2-C001,"[0.05, 5, 3, 0.6]"
U2,C,U2-C002,"[0.05, 5, 3, 1.0]"
U2,C,U2-C003,"[0.05, 5, 10, 0.3]"
U2,C,U2-C004,"[0.05, 5, 10, 0.6]"
U2,C,U2-C005,"[0.05, 5, 10, 1.0]"
U2,C,U2-C006,"[0.05, 20, 3, 0.3]"
U2,C,U2-C007,"[0.05, 20, 3, 0.6]"
U2,C,U2-C008,"[0.05, 20, 3, 1.0]"
U2,C,U2-C009,"[0.05, 20, 10, 0.3]"
U2,C,U2-C010,"[0.05, 20, 10, 0.6]"
U2,C,U2-C011,"[0.05, 20, 10, 1.0]"
U2,C,U2-C012,"[0.1, 5, 3, 0.3]"
U2,C,U2-C013,"[0.1, 5, 3, 0.6]"
U2,C,U2-C014,"[0.1, 5, 3, 1.0]"
U2,C,U2-C015,"[0.1, 5, 10, 0.3]"
U2,C,U2-C016,"[0.1, 5, 10, 0.6]"
U2,C,U2-C017,"[0.1, 5, 10, 1.0]"
U2,C,U2-C018,"[0.1, 20, 3, 0.3]"
U2,C,U2-C019,"[0.1, 20, 3, 0.6]"
U2,C,U2-C020,"[0.1, 20, 3, 1.0]"
U2,C,U2-C021,"[0.1, 20, 10, 0.3]"
U2,C,U2-C022,"[0.1, 20, 10, 0.6]"
U2,C,U2-C023,"[0.1, 20, 10, 1.0]"
U2,C,U2-C024,"[0.15, 5, 3, 0.3]"
U2,C,U2-C025,"[0.15, 5, 3, 0.6]"
U2,C,U2-C026,"[0.15, 5, 3, 1.0]"
U2,C,U2-C027,"[0.15, 5, 10, 0.3]"
U2,C,U2-C028,"[0.15, 5, 10, 0.6]"
U2,C,U2-C029,"[0.15, 5, 10, 1.0]"
U2,C,U2-C030,"[0.15, 20, 3, 0.3]"
U2,C,U2-C031,"[0.15, 20, 3, 0.6]"
U2,C,U2-C032,"[0.15, 20, 3, 1.0]"
U2,C,U2-C033,"[0.15, 20, 10, 0.3]"
U2,C,U2-C034,"[0.15, 20, 10, 0.6]"
U2,C,U2-C035,"[0.15, 20, 10, 1.0]"
U2,D,U2-D000,"[0.1, 0.3, ""inverse_volatility""]"
U2,D,U2-D001,"[0.1, 0.3, ""minimum_variance""]"
U2,D,U2-D002,"[0.1, 0.6, ""inverse_volatility""]"
U2,D,U2-D003,"[0.1, 0.6, ""minimum_variance""]"
U2,D,U2-D004,"[0.1, 1.0, ""inverse_volatility""]"
U2,D,U2-D005,"[0.1, 1.0, ""minimum_variance""]"
U2,D,U2-D006,"[0.15, 0.3, ""inverse_volatility""]"
U2,D,U2-D007,"[0.15, 0.3, ""minimum_variance""]"
U2,D,U2-D008,"[0.15, 0.6, ""inverse_volatility""]"
U2,D,U2-D009,"[0.15, 0.6, ""minimum_variance""]"
U2,D,U2-D010,"[0.15, 1.0, ""inverse_volatility""]"
U2,D,U2-D011,"[0.15, 1.0, ""minimum_variance""]"
U2,D,U2-D012,"[0.2, 0.3, ""inverse_volatility""]"
U2,D,U2-D013,"[0.2, 0.3, ""minimum_variance""]"
U2,D,U2-D014,"[0.2, 0.6, ""inverse_volatility""]"
U2,D,U2-D015,"[0.2, 0.6, ""minimum_variance""]"
U2,D,U2-D016,"[0.2, 1.0, ""inverse_volatility""]"
U2,D,U2-D017,"[0.2, 1.0, ""minimum_variance""]"
